row	word	windows_page_at_8c	linux_old	linux_new	wall_s	tree	banked	note
archive/tar	COUNT	1.24.13	97	98	99	bb54ff0920	yes	
archive/zip	PASS	1.24.13	100	100	80	bb54ff0920	no	
bufio	PASS	1.24.13	80 + 1	80 + 1	18	bb54ff0920	no	
bytes	COUNT	1.24.13	86 + 6	87 + 6	22	bb54ff0920	yes	
cmp	PASS	1.24.13	4	4	13	bb54ff0920	no	
compress/bzip2	PASS	1.24.13	4	4	14	bb54ff0920	no	
compress/flate	PASS	1.24.13	64	64	40	bb54ff0920	no	
compress/gzip	PASS	1.24.13	15	15	23	bb54ff0920	no	
compress/lzw	PASS	1.24.13	17	17	15	bb54ff0920	no	
compress/zlib	PASS	1.24.13	6	6	18	bb54ff0920	no	
container/heap	PASS	1.24.13	7	7	13	bb54ff0920	no	
container/list	PASS	1.24.13	10	10	14	bb54ff0920	no	
container/ring	PASS	1.24.13	8	8	13	bb54ff0920	no	
context	PASS	1.24.13	57 + 1	57 + 1	25	bb54ff0920	no	
crypto	PASS	1.24.13	6	6	29	bb54ff0920	no	
crypto/aes	COUNT	1.24.13	13	57	20	bb54ff0920	yes	
crypto/cipher	FAIL	1.24.13	13 + 1		55	bb54ff0920	no	vgetrandom (572 infrastructure-error leaves)
crypto/des	COUNT	1.24.13	18	55	19	bb54ff0920	yes	
crypto/dsa	FAIL	1.24.13	4		27	bb54ff0920	no	vgetrandom (3 infrastructure-error leaves)
crypto/ecdh	FAIL	1.24.13	47		23	bb54ff0920	no	vgetrandom (8 infrastructure-error leaves; the run ends, 14 absent)
crypto/ecdsa	FAIL	1.24.13	82		35	bb54ff0920	no	vgetrandom (48 infrastructure-error leaves)
crypto/ed25519	FAIL	1.24.13	8 + 1		24	bb54ff0920	no	vgetrandom (2 infrastructure-error leaves)
crypto/elliptic	FAIL	1.24.13	82		21	bb54ff0920	no	vgetrandom (12 infrastructure-error leaves)
crypto/hkdf	PASS	1.24.13		3	18	bb54ff0920	no	
crypto/hmac	PASS	1.24.13	172	172	19	bb54ff0920	no	
crypto/internal/boring	PASS	1.24.13	3	3	17	bb54ff0920	no	
crypto/internal/boring/bcache	PASS	1.24.13		1	135	bb54ff0920	no	
crypto/internal/fips140/aes	PASS	1.24.13		5	18	bb54ff0920	no	
crypto/internal/fips140/bigmod	FAIL	nopage			19	bb54ff0920	no	vgetrandom (4 leaves; the run ends, 24 absent)
crypto/internal/fips140/ecdh	PASS	1.24.13		1	17	bb54ff0920	no	
crypto/internal/fips140/ecdsa	FAIL	1.24.13			22	bb54ff0920	no	vgetrandom (4 leaves)
crypto/internal/fips140/edwards25519	PASS	nopage		54	305	bb54ff0920	no	
