row	entry	current_label	census_proposal	go	cs	unit	reading	note_text
net/netip	TestAddrStringAllocs/ipv4	alloc-profile	DEFERRED	pass	fail	COUNT	2/run (counted 2,000 objects, 80,000 bytes, 1,000 runs); test: allocs=2, want 1	go2cs: testing.AllocsPerRun counted 2,000 go2cs-runtime object allocations (80,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestAddrStringAllocs/ipv6	alloc-profile	DEFERRED	pass	fail	COUNT	106/run (counted 106,000 objects, 11,968,000 bytes, 1,000 runs); test: allocs=106, want 1	go2cs: testing.AllocsPerRun counted 106,000 go2cs-runtime object allocations (11,968,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestAddrStringAllocs/ipv6+zone	alloc-profile	DEFERRED	pass	fail	COUNT	106/run (counted 106,000 objects, 11,968,000 bytes, 1,000 runs); test: allocs=106, want 1	go2cs: testing.AllocsPerRun counted 106,000 go2cs-runtime object allocations (11,968,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestAddrStringAllocs/ipv4-in-ipv6	alloc-profile	DEFERRED	pass	fail	COUNT	3/run (counted 3,000 objects, 136,000 bytes, 1,000 runs); test: allocs=3, want 1	go2cs: testing.AllocsPerRun counted 3,000 go2cs-runtime object allocations (136,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestAddrStringAllocs/ipv4-in-ipv6+zone	alloc-profile	DEFERRED	pass	fail	COUNT	3/run (counted 3,000 objects, 136,000 bytes, 1,000 runs); test: allocs=3, want 1	go2cs: testing.AllocsPerRun counted 3,000 go2cs-runtime object allocations (136,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/IPv4	alloc-profile	DEFERRED	pass	fail	COUNT	1/run (counted 1,000 objects, 64,000 bytes, 1,000 runs); test: allocs = 1; want 0	go2cs: testing.AllocsPerRun counted 1,000 go2cs-runtime object allocations (64,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/AddrFrom4	alloc-profile	DEFERRED	pass	fail	COUNT	1/run (counted 1,000 objects, 64,000 bytes, 1,000 runs); test: allocs = 1; want 0	go2cs: testing.AllocsPerRun counted 1,000 go2cs-runtime object allocations (64,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/AddrFrom16	alloc-profile	DEFERRED	pass	fail	COUNT	2/run (counted 2,000 objects, 104,000 bytes, 1,000 runs); test: allocs = 2; want 0	go2cs: testing.AllocsPerRun counted 2,000 go2cs-runtime object allocations (104,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/ParseAddr/4	alloc-profile	DEFERRED	pass	fail	COUNT	3/run (counted 3,000 objects, 96,000 bytes, 1,000 runs); test: allocs = 3; want 0	go2cs: testing.AllocsPerRun counted 3,000 go2cs-runtime object allocations (96,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
net/netip	TestNoAllocs/ParseAddr/6	alloc-profile	DEFERRED	pass	fail	COUNT	3/run (counted 3,000 objects, 112,000 bytes, 1,000 runs); test: allocs = 3; want 0	go2cs: testing.AllocsPerRun counted 3,000 go2cs-runtime object allocations (112,000 bytes) over 1,000 run(s) — the figure reported above is an allocation COUNT per run, from go2cs's own runtime counter (golib's allocation sites), which is the structural mirror of Go's runtime.MemStats.Mallocs. The CLR publishes no in-process malloc counter (see the measured survey on testing.AllocsPerRun). The count covers golib's sites only: allocations the C# compiler emits in converted code (closures, params arrays, interface boxing) and BCL internals are outside it, so this is a LOWER BOUND on the true object count.
