w	worker	slice	seq	row	word	verdicts	sweep_s	first_in_list	rc	diverged	platform	tree	wall_s	post_s	banked	manifest_pins	cost_i9_s	reserved
4	i9-13900K (sweeper)	1	1	runtime	DIVERGED	10886	187	1	1	10804	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	189	1	yes	6	265	0
4	i9-13900K (sweeper)	1	2	crypto/x509	DIVERGED	518	99	1	1	1	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	99	0	yes	0	200	0
4	i9-13900K (sweeper)	1	3	go/parser	PASS	176	133	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	133	0	yes	0	139	1
4	i9-13900K (sweeper)	1	4	testing/iotest	PASS	18	12	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	13	0	yes	0	136	0
4	i9-13900K (sweeper)	1	5	archive/tar	PASS	98	18	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	18	0	yes	0	128	0
4	i9-13900K (sweeper)	1	6	go/types	PASS	574	122	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	122	0	yes	0	128	1
4	i9-13900K (sweeper)	1	7	net/http/cgi	PASS	38	71	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	72	0	yes	1	106	0
4	i9-13900K (sweeper)	1	8	encoding/json	PASS	532	35	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	36	0	yes	0	102	0
4	i9-13900K (sweeper)	1	9	index/suffixarray	PASS	12	93	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	93	0	yes	0	96	1
4	i9-13900K (sweeper)	1	10	sync/atomic	PASS	108	90	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	90	0	yes	0	92	1
4	i9-13900K (sweeper)	1	11	crypto/rsa	PASS	568	63	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	63	0	yes	1	86	0
4	i9-13900K (sweeper)	1	12	reflect	DIVERGED	396	52	1	1	5	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	53	0	yes	62	86	0
4	i9-13900K (sweeper)	1	13	crypto/internal/fips140test	DIVERGED	2267	59	1	1	52	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	60	1	yes	0	73	0
4	i9-13900K (sweeper)	1	14	crypto/cipher	PASS	27272	30	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	33	2	yes	1	62	0
4	i9-13900K (sweeper)	1	15	go/importer	PASS	3	19	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	19	0	yes	0	62	0
4	i9-13900K (sweeper)	1	16	math/big	PASS	230	29	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	30	0	yes	2	58	0
4	i9-13900K (sweeper)	1	17	crypto/ecdsa	PASS	77	24	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	24	0	yes	0	57	0
4	i9-13900K (sweeper)	1	18	net/http/httptest	PASS	55	50	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	50	0	yes	0	55	0
4	i9-13900K (sweeper)	1	19	net/rpc	PASS	15	28	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	29	0	yes	0	53	0
4	i9-13900K (sweeper)	1	20	math/rand/v2	PASS	36	21	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	21	0	yes	0	52	0
4	i9-13900K (sweeper)	1	21	crypto/dsa	PASS	4	39	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	39	0	yes	0	51	1
4	i9-13900K (sweeper)	1	22	expvar	PASS	11	22	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	23	0	yes	0	51	0
4	i9-13900K (sweeper)	1	23	net/smtp	PASS	20	21	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	21	0	yes	0	48	0
4	i9-13900K (sweeper)	1	24	crypto/internal/fips140/edwards25519/field	PASS	16	26	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	27	0	yes	0	47	0
4	i9-13900K (sweeper)	1	25	net/rpc/jsonrpc	PASS	9	22	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	23	0	yes	0	47	0
4	i9-13900K (sweeper)	1	26	archive/zip	PASS	100	44	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	44	0	yes	0	44	1
4	i9-13900K (sweeper)	1	27	go/doc	PASS	86	18	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	18	0	yes	0	44	0
4	i9-13900K (sweeper)	1	28	crypto/des	PASS	55	14	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	15	0	yes	0	32	0
