test	go	csharp
TestAlignment	pass	fail
TestCallReturnsEmpty	pass	fail
TestChanAlloc	pass	fail
TestGCBits	pass	fail
TestGroupSizeZero	pass	fail
TestIsZero	pass	fail
TestMapAlloc	pass	fail
TestMapIterReset	pass	fail
TestMapIterSet	pass	fail
TestMapOfKeyPanic	pass	fail
TestMapOfKeyUpdate	pass	fail
TestMethodCallValueCodePtr	pass	fail
TestPtrToGC	pass	fail
TestSlice	pass	fail
TestSlice3	pass	fail
TestSliceAt	pass	fail
TestSmallZero	pass	fail
TestStructOf	pass	fail
TestStructOfAnonymous	pass	fail
TestTypeFieldReadOnly	pass	fail
TestValuePointerAndUnsafePointer	pass	fail
TestValuePointerAndUnsafePointer/channel	pass	fail
TestValuePointerAndUnsafePointer/function	pass	fail
TestValuePointerAndUnsafePointer/map	pass	fail
TestValuePointerAndUnsafePointer/pointer	pass	fail
TestValuePointerAndUnsafePointer/slice	pass	fail
TestValuePointerAndUnsafePointer/string	pass	fail
