test	go	csharp
TestComparable	pass	fail
TestComparable/*float64	pass	fail
TestComparable/bool	pass	fail
TestComparable/chan_struct_{}	pass	fail
TestComparable/chan_struct_{}#01	pass	fail
TestComparable/complex128	pass	fail
TestComparable/float32	pass	fail
TestComparable/float64	pass	fail
TestComparable/float64#01	pass	fail
TestComparable/int64	pass	fail
TestComparable/interface_{}	pass	fail
TestComparable/maphash.S	pass	fail
TestComparable/string	pass	fail
TestComparable/string#01	pass	fail
TestComparable/struct_{_i_int;_u_uint;_b_bool;_f_float64;_p_*int;_a_interface_{}_}	pass	fail
TestComparable/struct_{}	pass	fail
TestComparable/uint64	pass	fail
TestComparable/uintptr	pass	fail
TestComparableShouldPanic	pass	fail
TestWriteComparable	pass	fail
TestWriteComparable/*float64	pass	fail
TestWriteComparable/bool	pass	fail
TestWriteComparable/complex128	pass	fail
TestWriteComparable/float32	pass	fail
TestWriteComparable/float64	pass	fail
TestWriteComparable/float64#01	pass	fail
TestWriteComparable/int64	pass	fail
TestWriteComparable/interface_{}	pass	fail
TestWriteComparable/maphash.S	pass	fail
TestWriteComparable/string	pass	fail
TestWriteComparable/string#01	pass	fail
TestWriteComparable/struct_{_i_int;_u_uint;_b_bool;_f_float64;_p_*int;_a_interface_{}_}	pass	fail
TestWriteComparable/struct_{}	pass	fail
TestWriteComparable/uint64	pass	fail
TestWriteComparable/uintptr	pass	fail
TestWriteComparableNoncommute	pass	fail
