w	worker	slice	seq	row	word	verdicts	sweep_s	first_in_list	rc	diverged	platform	tree	wall_s	post_s	banked	manifest_pins	cost_i9_s	reserved
4	i9-13900K (sweeper)	2	1	strings	PASS	69	63	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	64	0	yes	4	43	0
4	i9-13900K (sweeper)	2	2	go/ast	PASS	9	19	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	20	0	yes	0	42	0
4	i9-13900K (sweeper)	2	3	image/gif	PASS	28	20	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	20	0	yes	0	40	0
4	i9-13900K (sweeper)	2	4	crypto/internal/sysrand	PASS	6	22	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	22	0	yes	0	38	0
4	i9-13900K (sweeper)	2	5	debug/pe	PASS	10	23	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	23	0	yes	0	37	0
4	i9-13900K (sweeper)	2	6	flag	PASS	24	29	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	29	0	yes	0	36	0
4	i9-13900K (sweeper)	2	7	internal/reflectlite	PASS	30	16	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	17	0	yes	0	36	0
4	i9-13900K (sweeper)	2	8	image/draw	PASS	9	14	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	14	0	yes	0	35	0
4	i9-13900K (sweeper)	2	9	crypto/internal/fips140/rsa	PASS	123	17	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	17	0	yes	0	34	0
4	i9-13900K (sweeper)	2	10	crypto/md5	PASS	11	17	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	17	0	yes	1	34	0
4	i9-13900K (sweeper)	2	11	go/internal/srcimporter	PASS	7	32	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	33	0	yes	0	34	0
4	i9-13900K (sweeper)	2	12	log/slog/internal/benchmarks	PASS	3	14	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	15	0	yes	0	33	0
4	i9-13900K (sweeper)	2	13	mime/quotedprintable	PASS	5	13	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	13	0	yes	0	33	0
4	i9-13900K (sweeper)	2	14	internal/xcoff	PASS	3	13	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	13	0	yes	0	32	0
4	i9-13900K (sweeper)	2	15	os/signal	PASS	1	16	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	16	0	yes	3	32	0
4	i9-13900K (sweeper)	2	16	crypto/hmac	PASS	172	15	1	0	0	windows/amd64	c6fdbe73c38d230d2d1f4cb53b17459d632f63d7	15	0	yes	0	31	0
