row	word	verdicts	banked	sweep_s	exit	last_test_on_failure
archive/tar	PASS	97		17	none	
archive/tar	PASS	97		16	none	
archive/zip	PASS	100		45	none	
bufio	PASS	80		13	none	
bytes	PASS	82		16	none	
cmp	PASS	4		10	none	
compress/bzip2	PASS	4		11	none	
compress/flate	PASS	64		25	none	
compress/gzip	PASS	15		17	none	
compress/lzw	PASS	17		12	none	
compress/zlib	PASS	6		14	none	
container/heap	PASS	7		11	none	
container/list	PASS	10		10	none	
container/ring	PASS	8		10	none	
context	PASS	57		24	none	
crypto	PASS	6		22	none	
crypto/aes	PASS	13		13	none	
crypto/cipher	PASS	13		14	none	
crypto/des	PASS	18		12	none	
crypto/dsa	PASS	4		62	none	
crypto/ecdh	PASS	47		18	none	
crypto/ecdsa	PASS	82		32	none	
crypto/ed25519	PASS	8		17	none	
crypto/elliptic	PASS	82		14	none	
crypto/hmac	PASS	172		13	none	
crypto/internal/alias	PASS	1		11	none	
crypto/internal/bigmod	PASS	14		12	none	
crypto/internal/boring	PASS	3		12	none	
crypto/internal/boring/bcache	PASS	1		18	none	
crypto/internal/edwards25519	PASS	54		109	none	
crypto/internal/edwards25519/field	PASS	16		24	none	
crypto/internal/hpke	PASS	19		15	none	
crypto/internal/mlkem768	PASS	12		26	none	
crypto/internal/nistec	PASS	2195		37	none	
crypto/md5	PASS	11		12	none	
crypto/rand	PASS	298		13	none	
crypto/rc4	PASS	2		11	none	
crypto/rsa	PASS	559		27	none	
crypto/sha1	PASS	12		12	none	
crypto/sha256	PASS	23		14	none	
crypto/sha512	PASS	36		12	none	
crypto/subtle	PASS	7		29	none	
crypto/tls	FAIL	0		400	none	
crypto/x509	PASS	341		38	none	
database/sql	PASS	138		50	none	
database/sql/driver	PASS	1		12	none	
debug/buildinfo	PASS	197		22	none	
debug/dwarf	PASS	40		19	none	
debug/elf	PASS	31		19	none	
debug/gosym	PASS	10		15	none	
debug/macho	PASS	7		13	none	
debug/pe	PASS	10		19	none	
debug/plan9obj	PASS	2		11	none	
encoding/ascii85	PASS	9		11	none	
encoding/asn1	PASS	38		14	none	
encoding/base32	PASS	26		12	none	
encoding/base64	PASS	17		12	none	
encoding/binary	COUNT	140	137	14	none	
encoding/csv	PASS	71		14	none	
encoding/gob	PASS	106		29	none	
encoding/hex	PASS	12		12	none	
encoding/json	PASS	491		56	none	
encoding/pem	PASS	8		15	none	
encoding/xml	PASS	386		32	none	
errors	PASS	61		17	none	
expvar	PASS	11		53	none	
flag	PASS	24		17	none	
fmt	PASS	63		23	none	
go/ast	PASS	9		18	none	
go/build	PASS	57		39	none	
go/build/constraint	PASS	89		12	none	
go/constant	PASS	9		14	none	
go/doc	PASS	85		18	none	
go/doc/comment	PASS	10059		16	none	
go/format	PASS	4		14	none	
go/importer	PASS	3		33	none	
go/internal/gccgoimporter	PASS	4		16	none	
go/internal/gcimporter	PASS	583		267	none	
go/internal/srcimporter	PASS	7		22	none	
go/parser	PASS	173		130	none	
go/printer	PASS	45		15	none	
go/scanner	PASS	11		14	none	
go/token	PASS	31		14	none	
go/types	PASS	557		109	none	
go/version	PASS	3		11	none	
hash	PASS	18		12	none	
hash/adler32	PASS	2		12	none	
hash/crc32	PASS	10		13	none	
hash/crc64	PASS	5		11	none	
hash/fnv	PASS	19		13	none	
hash/maphash	PASS	22		147	none	
html	PASS	3		12	none	
html/template	PASS	243		21	none	
image	PASS	8		16	none	
image/color	PASS	10		11	none	
image/draw	PASS	9		15	none	
image/gif	PASS	28		17	none	
image/jpeg	PASS	14		15	none	
image/png	PASS	28		16	none	
index/suffixarray	PASS	12		93	none	
internal/abi	PASS	1		56	none	
internal/buildcfg	PASS	3		52	none	
internal/chacha8rand	PASS	4		54	none	
internal/concurrent	PASS	20		49	none	
internal/coverage/cfile	PASS	15		28	none	
internal/coverage/cformat	PASS	2		13	none	
internal/coverage/cmerge	PASS	2		12	none	
internal/coverage/pods	PASS	1		13	none	
internal/coverage/slicereader	PASS	1		12	none	
internal/coverage/slicewriter	PASS	1		12	none	
internal/cpu	PASS	8		53	none	
internal/dag	PASS	6		52	none	
internal/diff	PASS	13		13	none	
internal/fmtsort	PASS	3		13	none	
internal/fuzz	PASS	52		21	none	
internal/godebug	PASS	5		21	none	
internal/godebugs	PASS	1		38	none	
internal/gover	PASS	5		11	none	
internal/itoa	PASS	3		11	none	
internal/platform	PASS	1		17	none	
internal/poll	PASS	19		27	none	
internal/profile	PASS	1		17	none	
internal/reflectlite	PASS	30		24	none	
internal/runtime/atomic	PASS	15		22	none	
internal/saferio	PASS	17		12	none	
internal/singleflight	PASS	5		12	none	
internal/syscall/windows	PASS	2		15	none	
internal/syscall/windows/registry	PASS	6		18	none	
internal/sysinfo	PASS	1		15	none	
internal/testenv	PASS	7		14	none	
internal/trace	PASS	92		102	none	
internal/trace/internal/oldtrace	PASS	3		16	none	
internal/types/errors	PASS	155		39	none	
internal/weak	PASS	4		13	none	
internal/xcoff	PASS	3		13	none	
internal/zstd	PASS	536		13	none	
io	PASS	60		16	none	
io/fs	PASS	18		17	none	
io/ioutil	PASS	28		14	none	
iter	PASS	28		16	none	
log	PASS	8		15	none	
log/slog	PASS	194		51	none	
log/slog/internal/benchmarks	PASS	3		14	none	
log/slog/internal/buffer	PASS	1		12	none	
maps	PASS	14		11	none	
math	PASS	76		16	none	
math/big	PASS	224		31	none	
math/bits	PASS	26		15	none	
math/cmplx	PASS	24		15	none	
math/rand	PASS	43		19	none	
math/rand/v2	PASS	36		23	none	
mime	PASS	17		14	none	
mime/multipart	PASS	52		27	none	
mime/quotedprintable	PASS	5		14	none	
net	FAIL	0		678	none	
net/http	PASS	1345		238	none	
net/http/cgi	PASS	38		56	none	
net/http/cookiejar	PASS	17		20	none	
net/http/fcgi	PASS	12		20	none	
net/http/httptest	PASS	55		21	none	
net/http/httptrace	PASS	2		17	none	
net/http/httputil	PASS	53		44	none	
net/http/internal	PASS	14		14	none	
net/http/internal/ascii	PASS	13		11	none	
net/mail	PASS	11		14	none	
net/netip	PASS	210		26	none	
net/rpc	PASS	15		55	none	
net/rpc/jsonrpc	PASS	9		22	none	
net/smtp	PASS	19		23	none	
net/textproto	PASS	26		14	none	
net/url	PASS	48		14	none	
os	PASS	683		49	none	
os/exec	PASS	116		128	none	
os/exec/internal/fdtest	PASS	1		11	none	
os/signal	PASS	1		17	none	
os/user	PASS	5		44	none	
path	PASS	9		15	none	
path/filepath	PASS	61		21	none	
plugin	PASS	1		11	none	
regexp	PASS	45		189	none	
regexp/syntax	PASS	12		14	none	
