row	word	verdicts	banked	sweep_s
archive/tar	PASS	97		17
archive/zip	PASS	100		47
bufio	PASS	80		13
bytes	PASS	82		16
cmp	PASS	4		10
compress/bzip2	PASS	4		13
compress/flate	PASS	64		25
compress/gzip	PASS	15		17
compress/lzw	PASS	17		12
compress/zlib	PASS	6		13
container/heap	PASS	7		11
container/list	PASS	10		10
container/ring	PASS	8		10
context	PASS	57		23
crypto	PASS	6		23
crypto/aes	PASS	13		12
crypto/cipher	PASS	13		14
crypto/des	PASS	18		11
crypto/dsa	PASS	4		23
crypto/ecdh	PASS	47		15
crypto/ecdsa	PASS	82		22
crypto/ed25519	PASS	8		16
crypto/elliptic	PASS	82		14
crypto/hmac	PASS	172		12
crypto/internal/alias	PASS	1		11
crypto/internal/bigmod	PASS	14		12
crypto/internal/boring	PASS	3		12
crypto/internal/boring/bcache	PASS	1		18
crypto/internal/edwards25519	PASS	54		107
crypto/internal/edwards25519/field	PASS	16		24
crypto/internal/hpke	PASS	19		14
crypto/internal/mlkem768	PASS	12		26
crypto/internal/nistec	PASS	2195		37
crypto/md5	PASS	11		12
crypto/rand	PASS	298		12
crypto/rc4	PASS	2		11
crypto/rsa	FAIL	0		14
crypto/sha1	PASS	12		12
crypto/sha256	PASS	23		12
crypto/sha512	PASS	36		12
crypto/subtle	PASS	7		29
crypto/tls	FAIL	0		402
crypto/x509	PASS	341		36
database/sql	PASS	138		47
database/sql/driver	PASS	1		12
debug/buildinfo	PASS	197		22
debug/dwarf	PASS	40		18
debug/elf	PASS	31		16
debug/gosym	PASS	10		14
debug/macho	PASS	7		13
debug/pe	PASS	10		20
debug/plan9obj	PASS	2		11
encoding/ascii85	PASS	9		11
encoding/asn1	PASS	38		12
encoding/base32	PASS	26		12
encoding/base64	PASS	17		12
encoding/binary	COUNT	140	137	12
encoding/csv	PASS	71		12
encoding/gob	PASS	106		29
encoding/hex	PASS	12		11
encoding/json	PASS	491		56
encoding/xml	PASS	386		31
encoding/pem	PASS	8		13
errors	PASS	61		17
expvar	PASS	11		53
flag	PASS	24		17
fmt	PASS	63		22
go/ast	PASS	9		17
go/build	PASS	57		22
go/build/constraint	PASS	89		12
go/constant	PASS	9		13
go/doc	PASS	85		18
go/doc/comment	PASS	10059		16
go/format	PASS	4		14
go/importer	PASS	3		35
go/internal/gccgoimporter	PASS	4		15
go/internal/gcimporter	PASS	583		263
go/internal/srcimporter	PASS	7		22
go/parser	PASS	173		134
go/printer	PASS	45		15
go/scanner	PASS	11		13
go/token	PASS	31		13
go/types	PASS	557		108
go/version	PASS	3		11
hash	PASS	18		12
hash/adler32	PASS	2		11
hash/crc32	PASS	10		11
hash/crc64	PASS	5		12
hash/fnv	PASS	19		12
hash/maphash	PASS	22		142
html	PASS	3		12
html/template	PASS	243		22
image	PASS	8		15
image/color	PASS	10		12
image/draw	PASS	9		14
image/gif	PASS	28		17
image/jpeg	PASS	14		14
image/png	PASS	28		15
index/suffixarray	PASS	12		95
internal/abi	PASS	1		69
internal/buildcfg	PASS	3		12
internal/chacha8rand	PASS	4		58
internal/concurrent	PASS	20		12
internal/coverage/cfile	PASS	15		27
internal/coverage/cformat	PASS	2		13
internal/coverage/cmerge	PASS	2		11
internal/coverage/pods	PASS	1		12
internal/coverage/slicereader	PASS	1		12
internal/coverage/slicewriter	PASS	1		12
internal/cpu	PASS	8		53
internal/dag	PASS	6		12
internal/diff	PASS	13		12
internal/fmtsort	PASS	3		12
internal/fuzz	PASS	52		19
internal/godebug	PASS	5		22
internal/godebugs	PASS	1		54
internal/gover	PASS	5		11
internal/itoa	PASS	3		10
internal/platform	PASS	1		17
internal/poll	PASS	19		26
internal/profile	PASS	1		14
internal/reflectlite	PASS	30		26
internal/runtime/atomic	PASS	15		17
internal/saferio	PASS	17		11
internal/singleflight	PASS	5		12
internal/syscall/windows	PASS	2		15
internal/syscall/windows/registry	PASS	6		17
internal/sysinfo	PASS	1		11
internal/testenv	PASS	7		14
internal/trace	PASS	92		115
internal/trace/internal/oldtrace	PASS	3		15
