package	shard	host	kind	attempt	start	end	outer_s	sweep_s	deadline_min	word	got	gotDisclosed	gotDisclosedArray	bankedTests	bankedDisclosed	absorption	page	drift	log	corpus_commit	converter_commit	converter_sha256	converter_mtime	ctoolchain	rc
archive/tar	S-G	G-LAPTOP	verdict	1	2026-09-24T02:20:52	2026-09-24T02:23:13	141	141	10	PASS	98	0	0	98	0	none	MOVED [TestFileInfoHeaderSymlink] N=98 D=0	clean	rows\archive__tar\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
archive/zip	S-G	G-LAPTOP	verdict	1	2026-09-24T02:23:15	2026-09-24T02:25:32	137	137	60	PASS	100	0	0	100	0	none	NOT REWRITTEN	clean	rows\archive__zip\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
bufio	S-G	G-LAPTOP	verdict	1	2026-09-24T02:25:33	2026-09-24T02:26:00	27	26	10	PASS	80	1	1	80	1	none	NOT REWRITTEN	clean	rows\bufio\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
bytes	S-G	G-LAPTOP	verdict	1	2026-09-24T02:26:01	2026-09-24T02:26:32	31	31	10	PASS	83	6	6	83	6	none	NOT REWRITTEN	clean	rows\bytes\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
cmp	S-G	G-LAPTOP	verdict	1	2026-09-24T02:26:33	2026-09-24T02:26:54	21	20	10	PASS	4	0	0	4	0	none	NOT REWRITTEN	clean	rows\cmp\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
compress/bzip2	S-G	G-LAPTOP	verdict	1	2026-09-24T02:26:55	2026-09-24T02:27:18	22	22	10	PASS	4	0	0	4	0	none	NOT REWRITTEN	clean	rows\compress__bzip2\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
compress/flate	S-G	G-LAPTOP	verdict	1	2026-09-24T02:27:19	2026-09-24T02:28:09	50	49	10	PASS	64	0	0	64	0	none	NOT REWRITTEN	clean	rows\compress__flate\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
compress/gzip	S-G	G-LAPTOP	verdict	1	2026-09-24T02:28:10	2026-09-24T02:28:43	34	33	10	PASS	15	0	0	15	0	none	NOT REWRITTEN	clean	rows\compress__gzip\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
compress/lzw	S-G	G-LAPTOP	verdict	1	2026-09-24T02:28:44	2026-09-24T02:29:08	24	23	10	PASS	17	0	0	17	0	none	NOT REWRITTEN	clean	rows\compress__lzw\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
compress/zlib	S-G	G-LAPTOP	verdict	1	2026-09-24T02:29:09	2026-09-24T02:29:35	26	26	10	PASS	6	0	0	6	0	none	NOT REWRITTEN	clean	rows\compress__zlib\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
container/heap	S-G	G-LAPTOP	verdict	1	2026-09-24T02:29:36	2026-09-24T02:29:59	23	22	10	PASS	7	0	0	7	0	none	NOT REWRITTEN	clean	rows\container__heap\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
container/list	S-G	G-LAPTOP	verdict	1	2026-09-24T02:30:00	2026-09-24T02:30:21	21	20	10	PASS	10	0	0	10	0	none	NOT REWRITTEN	clean	rows\container__list\sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	cf743ca654fa9c3d80c80d0d42e629e2652f07fcc90432cbfda10198c8dd9a2b	2026-09-24T02:06:01	none	0
