package	shard	host	kind	attempt	start	end	outer_wall_s	sweep_wall_s	deadline	word	got	got_disclosed	banked_tests	banked_disclosed	absorption	page_reading	drift_class	log	corpus_commit	converter_commit	converter_sha256	converter_mtime	c_toolchain	rc
crypto/tls	S-R	R-LAPTOP	verdict	1	2026-09-24T07:18:07.3762051Z	2026-09-24T07:48:13.7255853Z	1806	1805	90m	PASS	4759	UNREADABLE	4759	1	none	NOT REWRITTEN P2a=MISMATCH page 4759|1 run 4759|UNREADABLE	crlfOnly=0 testArtifactContent=0 csAuto=0 productionContent=0	rows/crypto__tls/sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	4e4aaa77fad74aecb27b70cff2b0bd9c9d677f3cb688fc0e616a69ac3500d033	2026-09-24T07:06:19Z	gcc=0,cc=0,clang=0	0
internal/gover	S-R	R-LAPTOP	verdict	1	2026-09-24T07:48:16.1656936Z	2026-09-24T07:48:44.7238382Z	29	28	10m	PASS	5	UNREADABLE	5	0	none	NOT REWRITTEN P2a=MISMATCH page 5|0 run 5|UNREADABLE	crlfOnly=0 testArtifactContent=0 csAuto=0 productionContent=0	rows/internal__gover/sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	4e4aaa77fad74aecb27b70cff2b0bd9c9d677f3cb688fc0e616a69ac3500d033	2026-09-24T07:06:19Z	gcc=0,cc=0,clang=0	0
internal/itoa	S-R	R-LAPTOP	verdict	1	2026-09-24T07:48:46.0739776Z	2026-09-24T07:49:13.6071223Z	28	27	10m	PASS	3	UNREADABLE	3	0	none	NOT REWRITTEN P2a=MISMATCH page 3|0 run 3|UNREADABLE	crlfOnly=0 testArtifactContent=0 csAuto=0 productionContent=0	rows/internal__itoa/sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	4e4aaa77fad74aecb27b70cff2b0bd9c9d677f3cb688fc0e616a69ac3500d033	2026-09-24T07:06:19Z	gcc=0,cc=0,clang=0	0
internal/pkgbits	S-R	R-LAPTOP	verdict	1	2026-09-24T07:49:15.0079308Z	2026-09-24T07:49:52.3264866Z	37	36	10m	PASS	2	UNREADABLE	2	0	none	NOT REWRITTEN P2a=MISMATCH page 2|0 run 2|UNREADABLE	crlfOnly=0 testArtifactContent=0 csAuto=0 productionContent=0	rows/internal__pkgbits/sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	4e4aaa77fad74aecb27b70cff2b0bd9c9d677f3cb688fc0e616a69ac3500d033	2026-09-24T07:06:19Z	gcc=0,cc=0,clang=0	0
internal/platform	S-R	R-LAPTOP	verdict	1	2026-09-24T07:49:53.7569581Z	2026-09-24T07:50:38.2553934Z	44	43	10m	PASS	1	UNREADABLE	1	0	none	NOT REWRITTEN P2a=MISMATCH page 1|0 run 1|UNREADABLE	crlfOnly=0 testArtifactContent=0 csAuto=0 productionContent=0	rows/internal__platform/sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	4e4aaa77fad74aecb27b70cff2b0bd9c9d677f3cb688fc0e616a69ac3500d033	2026-09-24T07:06:19Z	gcc=0,cc=0,clang=0	0
internal/poll	S-R	R-LAPTOP	verdict	1	2026-09-24T07:50:39.7910435Z	2026-09-24T07:51:24.1060192Z	44	43	10m	PASS	19	UNREADABLE	19	0	none	NOT REWRITTEN P2a=MISMATCH page 19|0 run 19|UNREADABLE	crlfOnly=0 testArtifactContent=0 csAuto=0 productionContent=0	rows/internal__poll/sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	4e4aaa77fad74aecb27b70cff2b0bd9c9d677f3cb688fc0e616a69ac3500d033	2026-09-24T07:06:19Z	gcc=0,cc=0,clang=0	0
internal/profile	S-R	R-LAPTOP	verdict	1	2026-09-24T07:51:25.6005466Z	2026-09-24T07:52:06.2861902Z	41	40	10m	PASS	1	UNREADABLE	1	0	none	NOT REWRITTEN P2a=MISMATCH page 1|0 run 1|UNREADABLE	crlfOnly=0 testArtifactContent=0 csAuto=0 productionContent=1 REVIEW[src/core/internal/profile/package_init.cs]	rows/internal__profile/sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	4e4aaa77fad74aecb27b70cff2b0bd9c9d677f3cb688fc0e616a69ac3500d033	2026-09-24T07:06:19Z	gcc=0,cc=0,clang=0	0
internal/reflectlite	S-R	R-LAPTOP	verdict	1	2026-09-24T07:52:07.7437561Z	2026-09-24T07:52:56.1158134Z	48	47	10m	PASS	30	UNREADABLE	30	0	none	NOT REWRITTEN P2a=MISMATCH page 30|0 run 30|UNREADABLE	crlfOnly=0 testArtifactContent=0 csAuto=0 productionContent=0	rows/internal__reflectlite/sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	4e4aaa77fad74aecb27b70cff2b0bd9c9d677f3cb688fc0e616a69ac3500d033	2026-09-24T07:06:19Z	gcc=0,cc=0,clang=0	0
internal/runtime/atomic	S-R	R-LAPTOP	verdict	1	2026-09-24T07:52:57.6321159Z	2026-09-24T07:53:31.4267724Z	34	33	10m	PASS	16	UNREADABLE	16	0	none	NOT REWRITTEN P2a=MISMATCH page 16|0 run 16|UNREADABLE	crlfOnly=0 testArtifactContent=0 csAuto=0 productionContent=0	rows/internal__runtime__atomic/sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	4e4aaa77fad74aecb27b70cff2b0bd9c9d677f3cb688fc0e616a69ac3500d033	2026-09-24T07:06:19Z	gcc=0,cc=0,clang=0	0
internal/runtime/maps	S-R	R-LAPTOP	verdict	1	2026-09-24T07:53:32.9726319Z	2026-09-24T07:55:36.1285238Z	123	122	10m	PASS	3	UNREADABLE	3	108	none	NOT REWRITTEN P2a=MISMATCH page 3|108 run 3|UNREADABLE	crlfOnly=0 testArtifactContent=0 csAuto=0 productionContent=0	rows/internal__runtime__maps/sweep.log	61724860b49a84c373f1c0c6f76d8df3cbad9804	61724860b49a84c373f1c0c6f76d8df3cbad9804	4e4aaa77fad74aecb27b70cff2b0bd9c9d677f3cb688fc0e616a69ac3500d033	2026-09-24T07:06:19Z	gcc=0,cc=0,clang=0	0
