row	got_disclosed	orphaned	orphaned_names	status	record
crypto/tls	1	absent		validated	rows/crypto__tls/go2cs_test_comparison.json
internal/gover	0	absent		validated	rows/internal__gover/go2cs_test_comparison.json
internal/itoa	0	absent		validated	rows/internal__itoa/go2cs_test_comparison.json
internal/pkgbits	0	absent		validated	rows/internal__pkgbits/go2cs_test_comparison.json
internal/platform	0	absent		validated	rows/internal__platform/go2cs_test_comparison.json
internal/poll	0	absent		validated	rows/internal__poll/go2cs_test_comparison.json
internal/profile	0	absent		validated	rows/internal__profile/go2cs_test_comparison.json
internal/reflectlite	0	absent		validated	rows/internal__reflectlite/go2cs_test_comparison.json
internal/runtime/atomic	0	absent		validated	rows/internal__runtime__atomic/go2cs_test_comparison.json
internal/runtime/maps	108	absent		validated	rows/internal__runtime__maps/go2cs_test_comparison.json
internal/runtime/math	0	absent		validated	rows/internal__runtime__math/go2cs_test_comparison.json
internal/runtime/sys	0	absent		validated	rows/internal__runtime__sys/go2cs_test_comparison.json
internal/saferio	0	absent		validated	rows/internal__saferio/go2cs_test_comparison.json
internal/singleflight	0	absent		validated	rows/internal__singleflight/go2cs_test_comparison.json
internal/sync	0	absent		validated	rows/internal__sync/go2cs_test_comparison.json
internal/syscall/windows	0	absent		validated	rows/internal__syscall__windows/go2cs_test_comparison.json
internal/syscall/windows/registry	0	absent		validated	rows/internal__syscall__windows__registry/go2cs_test_comparison.json
internal/sysinfo	0	absent		validated	rows/internal__sysinfo/go2cs_test_comparison.json
internal/testenv	0	absent		validated	rows/internal__testenv/go2cs_test_comparison.json
internal/trace/internal/oldtrace	0	absent		validated	rows/internal__trace__internal__oldtrace/go2cs_test_comparison.json
internal/types/errors	0	absent		validated	rows/internal__types__errors/go2cs_test_comparison.json
internal/xcoff	0	absent		validated	rows/internal__xcoff/go2cs_test_comparison.json
internal/zstd	0	absent		validated	rows/internal__zstd/go2cs_test_comparison.json
io	1	absent		validated	rows/io/go2cs_test_comparison.json
io/fs	0	absent		validated	rows/io__fs/go2cs_test_comparison.json
io/ioutil	0	absent		validated	rows/io__ioutil/go2cs_test_comparison.json
iter	0	absent		validated	rows/iter/go2cs_test_comparison.json
log	1	absent		validated	rows/log/go2cs_test_comparison.json
log/slog	19	absent		validated	rows/log__slog/go2cs_test_comparison.json
log/slog/internal/benchmarks	0	absent		validated	rows/log__slog__internal__benchmarks/go2cs_test_comparison.json
log/slog/internal/buffer	1	absent		validated	rows/log__slog__internal__buffer/go2cs_test_comparison.json
maps	0	absent		validated	rows/maps/go2cs_test_comparison.json
math	0	absent		validated	rows/math/go2cs_test_comparison.json
math/big	1	absent		validated	rows/math__big/go2cs_test_comparison.json
math/bits	0	absent		validated	rows/math__bits/go2cs_test_comparison.json
math/cmplx	0	absent		validated	rows/math__cmplx/go2cs_test_comparison.json
math/rand	0	absent		validated	rows/math__rand/go2cs_test_comparison.json
math/rand/v2	0	absent		validated	rows/math__rand__v2/go2cs_test_comparison.json
mime	1	absent		validated	rows/mime/go2cs_test_comparison.json
mime/multipart	0	absent		validated	rows/mime__multipart/go2cs_test_comparison.json
mime/quotedprintable	0	absent		validated	rows/mime__quotedprintable/go2cs_test_comparison.json
net/http/cgi	1	absent		validated	rows/net__http__cgi/go2cs_test_comparison.json
net/http/cookiejar	0	absent		validated	rows/net__http__cookiejar/go2cs_test_comparison.json
net/http/fcgi	0	absent		validated	rows/net__http__fcgi/go2cs_test_comparison.json
net/http/httptest	0	absent		validated	rows/net__http__httptest/go2cs_test_comparison.json
net/http/httptrace	0	absent		validated	rows/net__http__httptrace/go2cs_test_comparison.json
net/http/httputil	0	absent		validated	rows/net__http__httputil/go2cs_test_comparison.json
net/http/internal	1	absent		validated	rows/net__http__internal/go2cs_test_comparison.json
net/http/internal/ascii	0	absent		validated	rows/net__http__internal__ascii/go2cs_test_comparison.json
net/mail	0	absent		validated	rows/net__mail/go2cs_test_comparison.json
net/netip	57	absent		validated	rows/net__netip/go2cs_test_comparison.json
net/rpc	0	absent		validated	rows/net__rpc/go2cs_test_comparison.json
net/rpc/jsonrpc	0	absent		validated	rows/net__rpc__jsonrpc/go2cs_test_comparison.json
net/smtp	0	absent		validated	rows/net__smtp/go2cs_test_comparison.json
net/textproto	0	absent		validated	rows/net__textproto/go2cs_test_comparison.json
net/url	0	absent		validated	rows/net__url/go2cs_test_comparison.json
os/exec	0	absent		validated	rows/os__exec/go2cs_test_comparison.json
os/exec/internal/fdtest	0	absent		validated	rows/os__exec__internal__fdtest/go2cs_test_comparison.json
os/signal	0	absent		validated	rows/os__signal/go2cs_test_comparison.json
os/user	0	absent		validated	rows/os__user/go2cs_test_comparison.json
path	0	absent		validated	rows/path/go2cs_test_comparison.json
path/filepath	0	absent		validated	rows/path__filepath/go2cs_test_comparison.json
plugin	0	absent		validated	rows/plugin/go2cs_test_comparison.json
regexp	0	absent		validated	rows/regexp/go2cs_test_comparison.json
regexp/syntax	0	absent		validated	rows/regexp__syntax/go2cs_test_comparison.json
runtime/debug	5	absent		validated	rows/runtime__debug/go2cs_test_comparison.json
runtime/metrics	0	absent		validated	rows/runtime__metrics/go2cs_test_comparison.json
slices	3	absent		validated	rows/slices/go2cs_test_comparison.json
sort	0	absent		validated	rows/sort/go2cs_test_comparison.json
strconv	11	absent		validated	rows/strconv/go2cs_test_comparison.json
strings	4	absent		validated	rows/strings/go2cs_test_comparison.json
sync	6	absent		validated	rows/sync/go2cs_test_comparison.json
sync/atomic	0	absent		validated	rows/sync__atomic/go2cs_test_comparison.json
syscall	0	absent		validated	rows/syscall/go2cs_test_comparison.json
testing	15	absent		validated	rows/testing/go2cs_test_comparison.json
testing/fstest	0	absent		validated	rows/testing__fstest/go2cs_test_comparison.json
testing/iotest	0	absent		validated	rows/testing__iotest/go2cs_test_comparison.json
testing/quick	0	absent		validated	rows/testing__quick/go2cs_test_comparison.json
testing/slogtest	0	absent		validated	rows/testing__slogtest/go2cs_test_comparison.json
text/scanner	0	absent		validated	rows/text__scanner/go2cs_test_comparison.json
text/tabwriter	0	absent		validated	rows/text__tabwriter/go2cs_test_comparison.json
text/template	0	absent		validated	rows/text__template/go2cs_test_comparison.json
text/template/parse	0	absent		validated	rows/text__template__parse/go2cs_test_comparison.json
time	0	absent		validated	rows/time/go2cs_test_comparison.json
unicode	0	absent		validated	rows/unicode/go2cs_test_comparison.json
unicode/utf16	1	absent		validated	rows/unicode__utf16/go2cs_test_comparison.json
unicode/utf8	1	absent		validated	rows/unicode__utf8/go2cs_test_comparison.json
unique	1	absent		validated	rows/unique/go2cs_test_comparison.json
weak	0	absent		validated	rows/weak/go2cs_test_comparison.json
