# Digest of `go build -a -gcflags=-m std` (go1.24.13, amd64), per GOOS: verdict lines per std package directory.
# The full outputs are ~137K lines per GOOS and are regenerated by the command in README.md; this digest is what they are checked against.
TOTAL windows: lines=136781 does-not-escape=18767 escapes-to-heap=22278 leaking-param=14676 moved-to-heap=943 can-inline=13961 inlining-call=60900
TOTAL linux: lines=137238 does-not-escape=18702 escapes-to-heap=22363 leaking-param=14711 moved-to-heap=963 can-inline=14253 inlining-call=61016
TOTAL darwin: lines=136368 does-not-escape=18685 escapes-to-heap=22219 leaking-param=14603 moved-to-heap=920 can-inline=14099 inlining-call=60567

package	windows:does	windows:escapes	windows:leaking	windows:moved	linux:does	linux:escapes	linux:leaking	linux:moved	darwin:does	darwin:escapes	darwin:leaking	darwin:moved
archive/tar	94	95	141	1	98	99	143	1	98	99	143	1
archive/zip	52	80	99	9	53	80	98	9	53	80	98	9
bufio	14	24	50	0	14	24	50	0	14	24	50	0
bytes	169	47	49	8	169	47	49	8	169	47	49	8
compress/bzip2	17	43	12	0	17	43	12	0	17	43	12	0
compress/flate	73	81	76	4	73	81	76	4	73	81	76	4
compress/gzip	2	12	23	1	2	12	23	1	2	12	23	1
compress/lzw	9	15	17	0	9	15	17	0	9	15	17	0
compress/zlib	1	8	20	0	1	8	20	0	1	8	20	0
container/heap	0	0	8	0	0	0	8	0	0	0	8	0
container/list	6	8	38	0	6	8	38	0	6	8	38	0
container/ring	1	2	9	0	1	2	9	0	1	2	9	0
context	5	34	51	0	5	34	51	0	5	34	51	0
crypto	0	6	1	0	0	6	1	0	0	6	1	0
crypto/aes	1	3	0	0	1	3	0	0	1	3	0	0
crypto/cipher	58	77	43	6	58	77	43	6	58	77	43	6
crypto/des	24	20	0	0	24	20	0	0	24	20	0	0
crypto/dsa	18	18	7	0	18	18	7	0	18	18	7	0
crypto/ecdh	29	24	34	2	29	24	34	2	29	24	34	2
crypto/ecdsa	36	65	34	1	36	65	34	1	36	65	34	1
crypto/ed25519	33	21	2	0	33	21	2	0	33	21	2	0
crypto/elliptic	51	117	35	0	51	117	35	0	51	117	35	0
crypto/fips140	0	2	0	0	0	2	0	0	0	2	0	0
crypto/hmac	4	2	1	0	4	2	1	0	4	2	1	0
